Year,Category,Provincial/territorial prescribed drugs,Federal direct prescribed drugs,Workers compensation board prescribed drugs,Drug insurance funds premium on prescribed drugs,Total public-sector prescribed drugs,Private insurers* prescribed drugs,Out-of-pocket prescribed drugs,Total private-sector prescribed drugs,Total prescribed drugs,Private over-the-counter drugs ,Private personal health supplies ,Total non-prescribed drugs,Public-sector total drugs,Private-sector total drugs,Total drugs,Shorthand,Legend,Province,Province Code
1999,G.4.1: Expenditure by year,68.97658364,10.77656507,1.07535747,,80.82850618,,,167.01066799999998,247.8391742,47.55570331,44.11431023,91.67001354,80.82850618,258.6806815,339.5091877,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2000,G.4.1: Expenditure by year,78.36096378,14.21652716,1.37958653,,93.95707747,,,187.6733118,281.6303892,47.60663177,43.11028197,90.71691374,93.95707747,278.3902255,372.34730299999995,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2001,G.4.1: Expenditure by year,90.05316533,17.17588999,1.7359223000000001,,108.96497759999998,,,218.9111922,327.8761698,46.53497981,40.32859477,86.86357458,108.96497759999998,305.7747667,414.73974439999995,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2002,G.4.1: Expenditure by year,101.3310152,18.76642949,2.06557484,,122.1630195,,,241.93663109999997,364.0996506,49.6640258,42.95629907,92.62032486,122.1630195,334.556956,456.7199755,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2003,G.4.1: Expenditure by year,112.3021607,20.96378579,2.59939862,,135.86534509999998,,,271.37687969999996,407.2422249,50.61952927,42.80901417,93.42854344,135.86534509999998,364.80542310000004,500.6707683,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2004,G.4.1: Expenditure by year,124.4251509,21.61546538,3.25367933,,149.2942956,,,276.1284694,425.4227649,52.21541347,43.47863779,95.69405126,149.2942956,371.8225206,521.1168161999999,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2005,G.4.1: Expenditure by year,135.81510459999998,22.33766477,3.70551775,,161.8582871,,,326.99590589999997,488.85419299999995,50.07500332,41.11101339,91.1860167,161.8582871,418.1819226,580.0402097,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2006,G.4.1: Expenditure by year,146.3646427,22.71994125,3.95130722,,173.03589119999998,,,343.6613642,516.6972553999999,52.41007762,43.18818592,95.59826354,173.03589119999998,439.25962769999995,612.2955188999999,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2007,G.4.1: Expenditure by year,152.68737140000002,23.26389174,4.01149988,,179.962763,,,349.5960855,529.5588485000001,56.87338955,44.17838818,101.0517777,179.962763,450.6478632,630.6106262,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2008,G.4.1: Expenditure by year,160.9352597,24.25279723,4.23967798,,189.42773490000002,,,378.3310065,567.7587414,57.82199197,45.61898348,103.44097550000001,189.42773490000002,481.77198200000004,671.1997169,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2009,G.4.1: Expenditure by year,175.17794730000003,23.17925954,4.3521234,,202.70933019999998,,,406.9650367,609.674367,70.31698444,53.24232249,123.55930690000001,202.70933019999998,530.5243437,733.2336739,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2010,G.4.1: Expenditure by year,188.4826778,23.24084969,4.39233805,,216.11586549999998,,,472.8379273,688.9537928,70.81821976,54.38929127,125.20751100000001,216.11586549999998,598.0454384,814.1613037999999,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2011,G.4.1: Expenditure by year,196.591611,24.83814128,4.29884312,,225.7285954,,,486.5643791,712.2929745,66.73860970000001,50.38471823,117.1233279,225.7285954,603.6877071,829.4163025,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2012,G.4.1: Expenditure by year,188.8892467,25.09564532,4.18206603,,218.166958,,,492.8748857,711.0418437000001,72.60967249,53.87808472,126.48775719999999,218.166958,619.3626429,837.5296009,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2013,G.4.1: Expenditure by year,177.5352826,23.60847556,3.60463284,,204.748391,,,479.22070180000003,683.9690927999999,68.8348708,50.82136324,119.65623400000001,204.748391,598.8769358,803.6253267999999,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2014,G.4.1: Expenditure by year,179.922527,22.74811422,3.35569164,,206.02633280000003,,,486.63898739999996,692.6653202,71.56559824,52.6799281,124.24552630000001,206.02633280000003,610.8845137,816.9108464999999,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2015,G.4.1: Expenditure by year,189.9312297,24.531570600000002,3.3690052,,217.83180550000003,,,526.5019334,744.3337389,73.91898299,52.83049006,126.74947309999999,217.83180550000003,653.2514065,871.0832119999999,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2016,G.4.1: Expenditure by year,198.6743856,24.56762288,3.51262755,,226.75463599999998,,,508.2815484,735.0361843999999,72.43579719,53.52157235,125.95736950000001,226.75463599999998,634.2389178999999,860.9935538999999,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2017,G.4.1: Expenditure by year,205.28209909999998,24.62328126,3.65130205,,233.5566824,,,525.9918411,759.5485235,77.4475551,55.12612829,132.5736834,233.5566824,658.5655245,892.1222069,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2018,G.4.1: Expenditure by year,205.38250109999998,25.39065986,3.822368837,,234.5955298,,,539.9718608,774.5673906000001,79.85346663,56.94968122,136.8031478,234.5955298,676.7750087000001,911.3705384,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1985,G.4.2: Percentage by year,27.56820375,1.347721531,0.112327085,,29.02825237,,,31.57138394,60.59963631,,,39.40036369,29.02825237,70.97174763,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1986,G.4.2: Percentage by year,27.88297233,1.255537703,0.11129772800000001,,29.24980776,,,32.13788203,61.38768979999999,,,38.6123102,29.24980776,70.75019224,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1987,G.4.2: Percentage by year,27.504206899999996,1.1597113270000001,0.10897751900000001,,28.77289575,,,33.40262061,62.17551636,,,37.82448364,28.77289575,71.22710425,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1988,G.4.2: Percentage by year,27.8333988,1.5214607409999998,0.124471311,,29.47933085,,,35.19892527,64.67825612,,,35.32174388,29.47933085,70.52066915,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1989,G.4.2: Percentage by year,28.82739649,1.702756392,0.137237974,,30.66739085,,,36.69812006,67.36551092,,,32.63448908,30.66739085,69.33260915,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1990,G.4.2: Percentage by year,28.64452697,1.8117843359999999,0.192789242,,30.64910055,,,39.40790831,70.05700886,,,29.94299114,30.64910055,69.35089945,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1991,G.4.2: Percentage by year,28.13956602,1.870055953,0.19673207899999998,,30.20635405,,,40.01771279,70.22406684,,,29.77593316,30.20635405,69.79364595,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1992,G.4.2: Percentage by year,25.54329122,1.8013267730000002,0.23185060600000001,,27.5764686,,,43.51091834,71.08738695,15.15303793,13.75957512,28.91261305,27.5764686,72.4235314,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1993,G.4.2: Percentage by year,23.14808414,2.112956288,0.230200428,,25.49124086,,,45.36532566,70.85656651,15.07247964,14.07095385,29.14343349,25.49124086,74.50875914,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1994,G.4.2: Percentage by year,22.07669648,2.2622651080000002,0.23476874600000003,,24.57373033,,,46.70407903,71.27780936,14.71567223,14.00651841,28.72219064,24.57373033,75.42626967,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1995,G.4.2: Percentage by year,22.34388212,2.451695385,0.247255532,,25.04283304,,,48.95273328,73.99556632,13.17925577,12.82517792,26.00443368,25.04283304,74.95716696,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1996,G.4.2: Percentage by year,21.72307269,2.538888458,0.289306025,,24.55126717,,,50.24207478,74.79334195,13.06022675,12.146431300000001,25.20665805,24.55126717,75.44873283,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1997,G.4.2: Percentage by year,19.02904536,2.410016047,0.24765295,,21.68671436,,,48.79317717,70.47989153,15.09588287,14.4242256,29.52010847,21.68671436,78.31328564,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1998,G.4.2: Percentage by year,20.34422525,2.818185733,0.285366207,,23.44777719,,,49.00049685,72.44827404,13.92102632,13.63069964,27.55172596,23.44777719,76.55222281,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1999,G.4.2: Percentage by year,20.31655877,3.1741600689999996,0.31673884199999996,,23.80745768,,,49.19179629,72.99925397,14.00719186,12.99355417,27.00074603,23.80745768,76.19254232,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2000,G.4.2: Percentage by year,21.04512726,3.818082486,0.37051068200000004,,25.23372043,,,50.40275846,75.63647890000001,12.78554495,11.57797616,24.3635211,25.23372043,74.76627957,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2001,G.4.2: Percentage by year,21.71317472,4.141365815,0.418557016,,26.27309755,,,52.78278611,79.05588366,11.22028463,9.72383171,20.94411634,26.27309755,73.72690245,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2002,G.4.2: Percentage by year,22.18668344,4.108957456000001,0.452262864,,26.74790376,,,52.97264059,79.72054435,10.87406474,9.405390912,20.27945565,26.74790376,73.25209624,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2003,G.4.2: Percentage by year,22.43034102,4.187139956,0.519183221,,27.1366642,,,54.20266109,81.33932529,10.11034246,8.55033225,18.66067471,27.1366642,72.8633358,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2004,G.4.2: Percentage by year,23.87663323,4.147911697,0.6243665970000001,,28.64891152,,,52.98782552,81.63673705,10.01990568,8.343357274,18.36326295,28.64891152,71.35108848,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2005,G.4.2: Percentage by year,23.41477407,3.85105453,0.638838082,,27.90466668,,,56.37469617,84.27936285,8.633022759,7.087614393,15.72063715,27.90466668,72.09533332,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2006,G.4.2: Percentage by year,23.90424855,3.710616941,0.645326823,,28.26019232,,,56.12671554,84.38690786,8.559604961,7.053487178999999,15.61309214,28.26019232,71.73980768,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2007,G.4.2: Percentage by year,24.21262266,3.6891055710000002,0.636129446,,28.53785768,,,55.43770925,83.97556693,9.018780717,7.0056523539999995,16.02443307,28.53785768,71.46214232,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2008,G.4.2: Percentage by year,23.97725381,3.613350337,0.6316567,,28.22226085,,,56.36638351,84.58864436,8.614722342,6.796633301,15.41135564,28.22226085,71.77773915,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2009,G.4.2: Percentage by year,23.89114869,3.1612377289999998,0.5935520360000001,,27.64593845,,,55.50277507,83.14871352,9.589982968,7.261303508999999,16.85128648,27.64593845,72.35406155,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2010,G.4.2: Percentage by year,23.15053256,2.8545755710000003,0.5394923620000001,,26.54460049,,,58.07668887,84.62128936,8.698303325,6.680407311000001,15.37871064,26.54460049,73.45539951,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2011,G.4.2: Percentage by year,23.70240498,2.994653132,0.5182973989999999,,27.21535551,,,58.66346944,85.87882495,8.04645502,6.0747200260000005,14.12117505,27.21535551,72.78464449,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2012,G.4.2: Percentage by year,22.55314278,2.996389058,0.499333519,,26.04886535,,,58.84865265,84.897518,8.669505222,6.432976776,15.102482,26.04886535,73.95113465,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2013,G.4.2: Percentage by year,22.09179784,2.9377465810000003,0.448546446,,25.47809087,,,59.63235426,85.11044512,8.565542735,6.324012141,14.88955488,25.47809087,74.52190913,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2014,G.4.2: Percentage by year,22.02474453,2.784650775,0.41077819600000004,,25.220173499999998,,,59.57063606,84.79080957,8.760515121000001,6.448675314,15.20919043,25.220173499999998,74.7798265,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2015,G.4.2: Percentage by year,21.80402826,2.816214371,0.38676043299999996,,25.00700306,,,60.44220876,85.44921182,8.485869315,6.064918866,14.55078818,25.00700306,74.99299694,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2016,G.4.2: Percentage by year,23.07501428,2.853403811,0.407973734,,26.33639183,,,59.03430358,85.37069541,8.413047561,6.216257034,14.62930459,26.33639183,73.66360817,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2017,G.4.2: Percentage by year,23.01053572,2.760079401,0.40928272200000004,,26.17989784,,,58.95961753,85.13951537,8.681271972000001,6.179212654,14.86048463,26.17989784,73.82010216,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2018,G.4.2: Percentage by year,22.53556511,2.785986466,0.419408866,,25.74096044,,,59.24833403,84.98929447,8.761910031000001,6.248795502999999,15.01070553,25.74096044,74.25903956,100.0,G.4.2,Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1985,G.4.3: Percentage by year,4.502758836,0.220125514,0.018346563,,4.741230913,,,14.15325186,7.25466601,,,17.662934,4.741230913,31.81618585,11.9714679,G.4.3,Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1986,G.4.3: Percentage by year,4.9155834810000005,0.221342987,0.019621053,,5.156547521,,,15.958546499999999,7.986743381,,,19.17352074,5.156547521,35.13206724,13.01033384,G.4.3,Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1987,G.4.3: Percentage by year,5.199627075,0.219241603,0.020602028999999997,,5.439470706,,,18.39932893,8.750858807,,,20.83504538,5.439470706,39.23437431,14.07444492,G.4.3,Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1988,G.4.3: Percentage by year,5.048714083,0.275978522,0.022577912999999998,,5.347270518,,,18.56775183,8.730076561,,,18.63253976,5.347270518,37.20029159,13.49769936,G.4.3,Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1989,G.4.3: Percentage by year,5.028446409,0.297016738,0.023938817999999997,,5.349401965,,,19.03327505,8.793343391,,,16.92569554,5.349401965,35.95897059,13.05318296,G.4.3,Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1990,G.4.3: Percentage by year,5.135064269,0.32479604300000003,0.034561058,,5.49442137,,,20.19537904,9.304269929,,,15.34489095,5.49442137,35.54027,13.28099798,G.4.3,Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1991,G.4.3: Percentage by year,5.260816289,0.34961522899999997,0.036779932,,5.647211451,,,20.07254503,9.563987032,,,14.935355300000001,5.647211451,35.00790033,13.61924403,G.4.3,Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1992,G.4.3: Percentage by year,4.865088715,0.343088699,0.044159295999999994,,5.252336711,,,21.89418235,9.821885616,,,14.54848683,5.252336711,36.44266917,13.81663617,G.4.3,Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1993,G.4.3: Percentage by year,4.593384682,0.41928398899999997,0.045679767999999996,,5.0583484389999995,,,22.12468114,9.994044208,,,14.2132601,5.0583484389999995,36.33794124,14.1046126,G.4.3,Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1994,G.4.3: Percentage by year,4.398742183,0.450752266,0.046777252000000005,,4.896271700000001,,,22.73243744,10.07691175,,,13.98005089,4.896271700000001,36.71248833,14.13751607,G.4.3,Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1995,G.4.3: Percentage by year,4.407510414,0.48361662899999996,0.048773142,,4.939900185,,,25.73769978,10.61402857,,,13.67225612,4.939900185,39.4099559,14.34414127,G.4.3,Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1996,G.4.3: Percentage by year,4.1342048810000005,0.483186021,0.055058987000000004,,4.672449889,,,25.94675004,10.40121496,,,13.017592500000001,4.672449889,38.96434254,13.90660544,G.4.3,Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1997,G.4.3: Percentage by year,4.299137613,0.544482944,0.055951,,4.899571556000001,,,26.10249816,11.19521242,,,15.79213779,4.899571556000001,41.89463594,15.88426454,G.4.3,Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1998,G.4.3: Percentage by year,4.534006893,0.628073735,0.063598015,,5.225678643,,,27.035402899999998,11.50066296,,,15.20131549,5.225678643,42.23671839,15.87430911,G.4.3,Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1999,G.4.3: Percentage by year,4.693959784,0.733361387,0.073179686,,5.5005008570000005,,,27.51444523,11.93561213,,,15.10232608,5.5005008570000005,42.616771299999996,16.3503207,G.4.3,Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2000,G.4.3: Percentage by year,4.959658705,0.899799075,0.087317435,,5.946775215,,,29.38744237,12.69414907,,,14.20520611,5.946775215,43.59264848,16.78310421,G.4.3,Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2001,G.4.3: Percentage by year,5.17543837,0.9871142209999999,0.099765054,,6.262317645,,,30.07802548,13.28605729,,,11.93490741,6.262317645,42.01293289,16.80590574,G.4.3,Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2002,G.4.3: Percentage by year,5.539774261,1.0259621190000001,0.11292513300000001,,6.678661512000001,,,30.76161231,13.92008193,,,11.776433,6.678661512000001,42.53804531,17.46109744,G.4.3,Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2003,G.4.3: Percentage by year,5.765344382,1.076234365,0.13344737199999998,,6.975026119,,,32.2724957,14.60290667,,,11.11064535,6.975026119,43.38314105,17.95307081,G.4.3,Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2004,G.4.3: Percentage by year,5.88097506,1.0216584979999999,0.153785684,,7.056419243,,,31.93945126,14.27468411,,,11.06881697,7.056419243,43.00826823,17.48561325,G.4.3,Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
2005,G.4.3: Percentage by year,5.876788117,0.966562028,0.16033962300000001,,7.003689767000001,,,33.22511783,14.83522548,,,9.265150099,7.003689767000001,42.49026793,17.60244143,G.4.3,Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; New Brunswick; 1985 to 2018,New Brunswick,N.B.
