Legend,Shorthand,Location,Province,Province Code
Percentage distribution of provincial government health expenditure by use of funds; Ontario; 1974-1975 to 2018-2019 ,F.3.6.2,expenditure_by_type.csv,Ontario,Ont.
Provincial government per capita health expenditure by use of funds in current dollars; Ontario; 1974-1975 to 2018-2019,F.3.6.3,expenditure_by_type.csv,Ontario,Ont.
Provincial/territorial government health expenditure by use of funds in millions of current dollars; Canada; 1974-1975 to 2018-2019,F.2.1.1,expenditure_by_type.csv,,
Percentage distribution of provincial/territorial government health expenditure by use of funds; Canada; 1974-1975 to 2018-2019,F.2.1.2,expenditure_by_type.csv,,
Provincial/territorial government per capita health expenditure by use of funds in current dollars; Canada; 1974-1975 to 2018-2019,F.2.1.3,expenditure_by_type.csv,,
Expenditure on drugs by type and source of finance in millions of current dollars; Canada; 1985 to 2018,G.14.1,drug_spending.csv,,
Percentage share of expenditure on drugs by type and source of finance; Canada; 1985 to 2018,G.14.2,drug_spending.csv,,
Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; Canada; 1985 to 2018,G.14.3,drug_spending.csv,,
Expenditure on Drugs per capita by Type; by Source of Finance; in dollars; Canada; 1985 to 2018,G.14.4,drug_spending.csv,,
Expenditure on drugs by type and source of finance in millions of current dollars; Newfoundland and Labrador; 1985 to 2018,G.1.1,drug_spending.csv,Newfoundland and Labrador,N.L.
Percentage share of expenditure on drugs by type and source of finance; Newfoundland and Labrador; 1985 to 2018,G.1.2,drug_spending.csv,Newfoundland and Labrador,N.L.
Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; Newfoundland and Labrador; 1985 to 2018,G.1.3,drug_spending.csv,Newfoundland and Labrador,N.L.
Expenditure on drugs per capita by Type by source of finance in dollars; Newfoundland and Labrador; 1985 to 2018,G.1.4,drug_spending.csv,Newfoundland and Labrador,N.L.
Expenditure on drugs by type and source of finance in millions of current dollars; Saskatchewan; 1985 to 2018,G.8.1,drug_spending.csv,Saskatchewan,Sask.
Percentage share of expenditure on drugs by type and source of finance; Saskatchewan; 1985 to 2018,G.8.2,drug_spending.csv,Saskatchewan,Sask.
Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; Saskatchewan; 1985 to 2018,G.8.3,drug_spending.csv,Saskatchewan,Sask.
Expenditure on Drugs per capita by Type; by Source of Finance; in dollars; Saskatchewan; 1985 to 2018,G.8.4,drug_spending.csv,Saskatchewan,Sask.
Expenditure on drugs by type and source of finance in millions of current dollars; Nova Scotia; 1985 to 2018,G.3.1,drug_spending.csv,Nova Scotia,N.S.
Percentage share of expenditure on drugs by type and source of finance; Nova Scotia; 1985 to 2018,G.3.2,drug_spending.csv,Nova Scotia,N.S.
Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; Nova Scotia; 1985 to 2018,G.3.3,drug_spending.csv,Nova Scotia,N.S.
Expenditure on Drugs per capita by Type; by Source of Finance; in dollars; Nova Scotia; 1985 to 2018,G.3.4,drug_spending.csv,Nova Scotia,N.S.
Expenditure on drugs by type and source of finance in millions of current dollars; Quebec; 1985 to 2018,G.5.1,drug_spending.csv,Quebec,Que.
Percentage share of expenditure on drugs by type and source of finance; Quebec; 1985 to 2018,G.5.2,drug_spending.csv,Quebec,Que.
Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; Quebec; 1985 to 2018,G.5.3,drug_spending.csv,Quebec,Que.
Expenditure on Drugs per capita by Type; by Source of Finance; in dollars; Quebec; 1985 to 2018,G.5.4,drug_spending.csv,Quebec,Que.
Expenditure on drugs by type and source of finance in millions of current dollars; Alberta; 1985 to 2018,G.9.1,drug_spending.csv,Alberta,Alta.
Percentage share of expenditure on drugs by type and source of finance; Alberta; 1985 to 2018,G.9.2,drug_spending.csv,Alberta,Alta.
Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; Alberta; 1985 to 2018,G.9.3,drug_spending.csv,Alberta,Alta.
Expenditure on Drugs per capita by Type; by Source of Finance; in dollars; Alberta; 1985 to 2018,G.9.4,drug_spending.csv,Alberta,Alta.
Expenditure on drugs by type and source of finance in millions of current dollars; North West Territories; 1985 to 2018,G.12.1,drug_spending.csv,Northwest Territories,N.W.T.
Percentage share of expenditure on drugs by type and source of finance; North West Territories; 1985 to 2018,G.12.2,drug_spending.csv,Northwest Territories,N.W.T.
Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance;North West Territories; 1985 to 2018,G.12.3,drug_spending.csv,Northwest Territories,N.W.T.
Expenditure on Drugs per capita by Type; by Source of Finance; in dollars; North West Territories; 1985 to 2018,G.12.4,drug_spending.csv,Northwest Territories,N.W.T.
Expenditure on drugs by type and source of finance in millions of current dollars; Prince Edward Island; 1985 to 2018,G.2.1,drug_spending.csv,Prince Edward Island,P.E.I.
Percentage share of expenditure on drugs by type and source of finance; Prince Edward Island; 1985 to 2018,G.2.2,drug_spending.csv,Prince Edward Island,P.E.I.
Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; Prince Edward Island; 1985 to 2018,G.2.3,drug_spending.csv,Prince Edward Island,P.E.I.
Expenditure on Drugs per capita by Type; by Source of Finance; in dollars; Prince Edward Island; 1985 to 2018,G.2.4,drug_spending.csv,Prince Edward Island,P.E.I.
Expenditure on drugs by type and source of finance in millions of current dollars; Ontario; 1985 to 2018,G.6.1,drug_spending.csv,Ontario,Ont.
Percentage share of expenditure on drugs by type and source of finance; Ontario; 1985 to 2018,G.6.2,drug_spending.csv,Ontario,Ont.
Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; Ontario; 1985 to 2018,G.5.3,drug_spending.csv,Ontario,Ont.
Expenditure on Drugs per capita by Type; by Source of Finance; in dollars; Ontario; 1985 to 2018,G.6.4,drug_spending.csv,Ontario,Ont.
Expenditure on drugs by type and source of finance in millions of current dollars; Yukon; 1985 to 2018,G.11.1,drug_spending.csv,Yukon,Y.T.
Percentage share of expenditure on drugs by type and source of finance; Yukon; 1985 to 2018,G.11.2,drug_spending.csv,Yukon,Y.T.
Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; Yukon; 1985 to 2018,G.11.3,drug_spending.csv,Yukon,Y.T.
Expenditure on Drugs per capita by Type; by Source of Finance; in dollars; Yukon; 1985 to 2018,G.11.4,drug_spending.csv,Yukon,Y.T.
Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,G.4.1,drug_spending.csv,New Brunswick,N.B.
Percentage share of expenditure on drugs by type and source of finance; New Brunswick; 1985 to 2018,G.4.2,drug_spending.csv,New Brunswick,N.B.
Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; New Brunswick; 1985 to 2018,G.4.3,drug_spending.csv,New Brunswick,N.B.
Expenditure on Drugs per capita by Type; by Source of Finance; in dollars; New Brunswick; 1985 to 2018,G.4.4,drug_spending.csv,New Brunswick,N.B.
Expenditure on drugs by type and source of finance in millions of current dollars; Nunavut; 1985 to 2018,G.13.1,drug_spending.csv,Nunavut,Nun.
Percentage share of expenditure on drugs by type and source of finance; Nunavut; 1985 to 2018,G.13.2,drug_spending.csv,Nunavut,Nun.
Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; Nunavut; 1985 to 2018,G.13.3,drug_spending.csv,Nunavut,Nun.
Expenditure on Drugs per capita by Type; by Source of Finance; in dollars; Nunavut; 1985 to 2018,G.13.4,drug_spending.csv,Nunavut,Nun.
Expenditure on drugs by type and source of finance in millions of current dollars; Manitoba; 1985 to 2018,G.7.1,drug_spending.csv,Manitoba,Man.
Percentage share of expenditure on drugs by type and source of finance; Manitoba; 1985 to 2018,G.7.2,drug_spending.csv,Manitoba,Man.
Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; Manitoba; 1985 to 2018,G.7.3,drug_spending.csv,Manitoba,Man.
Expenditure on Drugs per capita by Type; by Source of Finance; in dollars; Manitoba; 1985 to 2018,G.7.4,drug_spending.csv,Manitoba,Man.
Expenditure on drugs by type and source of finance in millions of current dollars; British Columbia; 1985 to 2018,G.10.1,drug_spending.csv,British Columbia,B.C.
Percentage share of expenditure on drugs by type and source of finance; British Columbia; 1985 to 2018,G.10.2,drug_spending.csv,British Columbia,B.C.
Expenditure on drugs by type as a percentage share of public; private; and total health expenditures; by source of finance; British Columbia; 1985 to 2018,G.10.3,drug_spending.csv,British Columbia,B.C.
Expenditure on Drugs per capita by Type; by Source of Finance; in dollars; British Columbia; 1985 to 2018,G.10.4,drug_spending.csv,British Columbia,B.C.
Gross domestic product at market prices by province/territory and Canada; in millions of current dollars; by year; 1975 to 2018,Appendix: A.1,provincial_level.csv,,
Gross domestic product at market prices; by province/territory and Canada; in millions of current dollars; by fiscal year; 1974–1975 to 2018–2019,Appendix: A.2,provincial_level.csv,,
Government current expenditure implicit price index (base year 1997); by province/territory and Canada; 1975 to 2018,Appendix: B.1,provincial_level.csv,,
Consumer price index — Health care component by province/territory and Canada; 1975 to 2018,Appendix: B.2,provincial_level.csv,,
Total health care implicit price index; by province/territory and Canada; 1975 to 2018,Appendix: B.3,provincial_level.csv,,
Total provincial/territorial government programs;* by province/territory and Canada; in millions of dollars; by year; 1975 to 2017,Appendix: C.1,provincial_level.csv,,
Total provincial/territorial government expenditures;* by province/territory and Canada; in millions of dollars; by year; 1975 to 2017,Appendix: C.2,provincial_level.csv,,
Total provincial/territorial government programs;* by province/territory and Canada; in millions of dollars; by fiscal year; 1974–1975 to 2017–2018,Appendix: C.3,provincial_level.csv,,
Total provincial/territorial government expenditures;* by province/territory and Canada; by fiscal year; 1974–1975 to 2017–2018,Appendix: C.4,provincial_level.csv,,
Population by province/territory and Canada; in thousands; by year; 1975 to 2018,Appendix: D.1,provincial_level.csv,,
Population by province/territory and Canada; in thousands; by fiscal year; 1974–1975 to 2018–2019,Appendix: D.2,provincial_level.csv,,
Population by age and sex; by province/territory and Canada; in thousands; 1996,Appendix: D.3,provincial_level.csv,,
Population by age and sex; by province/territory and Canada; in thousands; 1997,Appendix: D.4,provincial_level.csv,,
Population by age and sex; by province/territory and Canada; in thousands; 1998,Appendix: D.5,provincial_level.csv,,
Population by age and sex; by province/territory and Canada; in thousands; 1999,Appendix: D.6,provincial_level.csv,,
Population by age and sex; by province/territory and Canada; in thousands; 2000,Appendix: D.7,provincial_level.csv,,
Population by age and sex; by province/territory and Canada; in thousands; 2001,Appendix: D.8,provincial_level.csv,,
Population by age and sex; by province/territory and Canada; in thousands; 2002,Appendix: D.9,provincial_level.csv,,
Population by age and sex; by province/territory and Canada; in thousands; 2003,Appendix: D.10,provincial_level.csv,,
Population by age and sex; by province/territory and Canada; in thousands; 2004,Appendix: D.11,provincial_level.csv,,
Population by age and sex; by province/territory and Canada; in thousands; 2005,Appendix: D.12,provincial_level.csv,,
Population by age and sex; by province/territory and Canada; in thousands; 2006,Appendix: D.13,provincial_level.csv,,
Population by age and sex; by province/territory and Canada; in thousands; 2007,Appendix: D.14,provincial_level.csv,,
Population by age and sex; by province/territory and Canada; in thousands; 2008,Appendix: D.15,provincial_level.csv,,
Population by age and sex; by province/territory and Canada; in thousands; 2009,Appendix: D.16,provincial_level.csv,,
Population by age and sex; by province/territory and Canada; in thousands; 2010,Appendix: D.17,provincial_level.csv,,
Population by age and sex; by province/territory and Canada; in thousands; 2011,Appendix: D.18,provincial_level.csv,,
Population by age and sex; by province/territory and Canada; in thousands; 2012,Appendix: D.19,provincial_level.csv,,
Population by age and sex; by province/territory and Canada; in thousands; 2013,Appendix: D.20,provincial_level.csv,,
Population by age and sex; by province/territory and Canada; in thousands; 2014,Appendix: D.21,provincial_level.csv,,
Population by age and sex; by province/territory and Canada; in thousands; 2015,Appendix: D.22,provincial_level.csv,,
Population by age and sex; by province/territory and Canada; in thousands; 2016,Appendix: D.23,provincial_level.csv,,
Federal direct health expenditure by use of funds in millions of current dollars; Canada; 1975 to 2018,C.6.1,expenditure_by_type.csv,,
Percentage distribution of federal direct health expenditure by use of funds in current dollars; Canada; 1975 to 2018,C.6.2,expenditure_by_type.csv,,
Federal direct health expenditure per capita by use of funds in current dollars; Canada; 1975 to 2018,C.6.3,expenditure_by_type.csv,,
Federal direct health expenditure by use of funds in current dollars; as a proportion of total; Canada; 1975 to 2018,C.6.4,expenditure_by_type.csv,,
Provincial/territorial government health expenditure by use of funds in millions of current dollars; Canada; 1975 to 2018,C.4.1,expenditure_by_type.csv,,
Percentage distribution of provincial/territorial government health expenditure by use of funds in current dollars; Canada; 1975 to 2018,C.4.2,expenditure_by_type.csv,,
Provincial/territorial government health expenditure per capita by use of funds in current dollars; Canada; 1975 to 2018,C.4.3,expenditure_by_type.csv,,
Provincial/territorial government health expenditure by use of funds in current dollars as a proportion of total; Canada; 1975 to 2018,C.4.4,expenditure_by_type.csv,,
Public-sector health expenditure by use of funds in millions of current dollars; Canada; 1975 to 2018,C.3.1,expenditure_by_type.csv,,
Percentage distribution of public-sector health expenditure by use of funds in current dollars; Canada; 1975 to 2018,C.3.2,expenditure_by_type.csv,,
Public-sector health expenditure per capita by use of funds in current dollars; Canada; 1975 to 2018,C.3.3,expenditure_by_type.csv,,
Public-sector health expenditure by use of funds in current dollars as a proportion of total; Canada; 1975 to 2018,C.3.4,expenditure_by_type.csv,,
Other public-sector* health expenditure by use of funds in millions of current dollars; Canada; 1975 to 2018,C.5.1,expenditure_by_type.csv,,
Percentage distribution of other public-sector* health expenditure by use of funds in current dollars; Canada; 1975 to 2018,C.5.2,expenditure_by_type.csv,,
Other public-sector* health expenditure per capita by use of funds in current dollars; Canada; 1975 to 2018,C.5.3,expenditure_by_type.csv,,
Other public-sector* health expenditure by use of funds as a proportion of total; Canada; 1975 to 2018,C.5.4,expenditure_by_type.csv,,
Social security funds health expenditure by use of funds in millions of current dollars; Canada; 1975 to 2018,C.8.1,expenditure_by_type.csv,,
Percentage distribution of social security funds health expenditure by use of funds in current dollars; Canada; 1975 to 2018,C.8.2,expenditure_by_type.csv,,
Social security funds health expenditure per capita by use of funds in current dollars; Canada; 1975 to 2018,C.8.3,expenditure_by_type.csv,,
Social security funds health expenditure by use of funds in current dollars as a proportion of total; Canada; 1975 to 2018,C.8.4,expenditure_by_type.csv,,
Municipal government health expenditure by use of funds in millions of current dollars; Canada; 1975 to 2018,C.7.1,expenditure_by_type.csv,,
Percentage distribution of municipal government health expenditure by use of funds in current dollars; Canada; 1975 to 2018,C.7.2,expenditure_by_type.csv,,
Municipal government health expenditure per capita by use of funds in current dollars; Canada; 1975 to 2018,C.7.3,expenditure_by_type.csv,,
Municipal government health expenditure by use of funds in current dollars as a proportion of total; Canada; 1975 to 2018,C.7.4,expenditure_by_type.csv,,
Private-sector health expenditure by use of funds in millions of current dollars; Canada; 1975 to 2018,C.2.1,expenditure_by_type.csv,,
Percentage distribution of private-sector health expenditure by use of funds in current dollars; Canada; 1975 to 2018,C.2.2,expenditure_by_type.csv,,
Private-sector health expenditure per capita by use of funds in current dollars; Canada; 1975 to 2018,C.2.3,expenditure_by_type.csv,,
Private-sector health expenditure by use of funds in current dollars as a proportion of total; Canada; 1975 to 2018,C.2.4,expenditure_by_type.csv,,
Total health expenditure by use of funds in millions of current dollars; Canada; 1975 to 2018,C.1.1,expenditure_by_type.csv,,
Percentage distribution of total health expenditure by use of funds in current dollars; Canada; 1975 to 2018,C.1.2,expenditure_by_type.csv,,
Total health expenditure per capita by use of funds in current dollars; Canada; 1975 to 2018,C.1.3,expenditure_by_type.csv,,
Public and private share of total health expenditure by use of funds in current dollars; Canada; 1975 to 2018,C.1.4,expenditure_by_type.csv,,
Other public* sector health expenditure by province/territory and Canada; in millions of current dollars 1975 to 2018,B.5.1,provincial_level.csv,,
Other public* sector per capita health expenditure by province/territory and Canada; in current dollars; 1975 to 2018,B.5.2,provincial_level.csv,,
Other public* sector health expenditure as a proportion of total health expenditure by province/territory and Canada; 1975 to 2018,B.5.3,provincial_level.csv,,
Other public* sector health expenditure by province/territory and Canada; in millions of 1997 constant dollars; 1975 to 2018,B.5.4,provincial_level.csv,,
Other public* sector per capita health expenditure by province/territory and Canada; in 1997 constant dollars; 1975 to 2018,B.5.5,provincial_level.csv,,
Municipal government health expenditure by province/territory and Canada; in millions of current dollars; 1975 to 2018,B.7.1,provincial_level.csv,,
Municipal government per capita health expenditure by province/territory and Canada; in current dollars; 1975 to 2018,B.7.2,provincial_level.csv,,
Municipal government health expenditure as a proportion of total health expenditure by province/territory and Canada; 1975 to 2018,B.7.3,provincial_level.csv,,
Municipal government health expenditure by province/territory and Canada; in millions of 1997 constant dollars; 1975 to 2018,B.7.4,provincial_level.csv,,
Municipal government per capita health expenditure by province/territory and Canada; in 1997 constant dollars; 1975 to 2018,B.7.5,provincial_level.csv,,
Provincial/territorial government-sector health expenditure by province/territory and Canada; in millions of current dollars; 1975 to 2018,B.4.1,provincial_level.csv,,
Provincial/territorial government-sector per capita health expenditure by province/territory and Canada; in current dollars; 1975 to 2018,B.4.2,provincial_level.csv,,
Provincial/territorial government-sector health expenditure as a proportion of total health expenditure by province/territory and Canada; 1975 to 2018,B.4.3,provincial_level.csv,,
Total provincial/territorial government–sector health expenditure as a proportion of total provincial/territorial government programs* by province/territory and Canada; 1975 to 2018,B.4.4,provincial_level.csv,,
Total provincial/territorial government-sector health expenditure as a proportion of total provincial and territorial government expenditures* by Province/Territory and Canada; 1975 to 2018,B.4.5,provincial_level.csv,,
Provincial/territorial government-sector per capita health expenditure standardized by age and sex and the percentage difference between standardized and actual expenditure by province/territory and Canada; in current dollars; 1998 to 2016,B.4.6,provincial_level.csv,,
Provincial/territorial government-sector health expenditure by province/territory and Canada; in millions of 1997 constant dollars; 1975 to 2018,B.4.7,provincial_level.csv,,
Provincial/territorial government-sector per capita health expenditure by province/territory and Canada; in 1997 constant dollars; 1975 to 2018,B.4.8,provincial_level.csv,,
Federal direct health expenditure by province/territory and Canada; in millions of current dollars; 1975 to 2018,B.6.1,provincial_level.csv,,
Federal direct per capita health expenditure by province/territory and Canada; in current dollars; 1975 to 2018,B.6.2,provincial_level.csv,,
Federal direct health expenditure as a proportion of total health expenditure by province/territory and Canada; 1975 to 2018,B.6.3,provincial_level.csv,,
Federal direct health expenditure by province/territory and Canada; in millions of 1997 constant dollars; 1975 to 2018,B.6.4,provincial_level.csv,,
Federal direct per capita health expenditure by province/territory and Canada; in 1997 constant dollars; 1975 to 2018,B.6.5,provincial_level.csv,,
Social security funds health expenditure by province/territory and Canada; in millions of current dollars; 1975 to 2018,B.8.1,provincial_level.csv,,
Social security funds per capita health expenditure by province/territory and Canada; in current dollars; 1975 to 2018,B.8.2,provincial_level.csv,,
Social security funds health expenditure as a proportion of total health expenditure by province/territory and Canada; 1975 to 2018,B.8.3,provincial_level.csv,,
Social security funds health expenditure by province/territory and Canada; in millions of 1997 constant dollars; 1975 to 2018,B.8.4,provincial_level.csv,,
Social security funds per capita health expenditure by province/territory and Canada; in 1997 constant dollars; 1975 to 2018,B.8.5,provincial_level.csv,,
Private-sector health expenditure by province/territory and Canada; in millions of current dollars; 1975 to 2018,B.2.1,provincial_level.csv,,
Private-sector per capita health expenditure by province/territory and Canada; in current dollars; 1975 to 2018,B.2.2,provincial_level.csv,,
Private-sector health expenditure as a proportion of total health expenditure by province/territory and Canada; 1975 to 2018,B.2.3,provincial_level.csv,,
Private-sector health expenditure by province/territory and Canada; in millions of 1997 constant dollars; 1975 to 2018,B.2.4,provincial_level.csv,,
Private-sector per capita health expenditure by province/territory and Canada; in 1997 constant dollars; 1975 to 2018,B.2.5,provincial_level.csv,,
Public-sector health expenditure by province/territory and Canada; in millions of current dollars; 1975 to 2018,B.3.1,provincial_level.csv,,
Public-sector per capita health expenditure by province/territory and Canada; in current dollars; 1975 to 2018,B.3.2,provincial_level.csv,,
Public-sector health expenditure as a proportion of total health expenditure by province/territory and Canada; 1975 to 2018,B.3.3,provincial_level.csv,,
Public-sector health expenditure by province/territory and Canada; in millions of 1997 constant dollars; 1975 to 2018,B.3.4,provincial_level.csv,,
Public-sector per capita health expenditure by province/territory and Canada; in 1997 constant dollars; 1975 to 2018,B.3.5,provincial_level.csv,,
Total health expenditure by province/territory and Canada; in millions of current dollars; 1975 to 2018,B.1.1,provincial_level.csv,,
Total per capita health expenditure by province/territory and Canada; in current dollars; 1975 to 2018,B.1.2,provincial_level.csv,,
Total health expenditure as a percentage of provincial/territorial GDP by province/territory and Canada; 1975 to 2018,B.1.3,provincial_level.csv,,
Total health expenditure by province/territory and Canada; in millions of 1997 constant dollars; 1975 to 2018,B.1.4,provincial_level.csv,,
Total per capita health expenditure by province/territory and Canada; in 1997 constant dollars; 1975 to 2018,B.1.5,provincial_level.csv,,
Summary of total health expenditure; Canada; 1975 to 2018,A.1,provincial_level.csv,,
Total health expenditure by source of finance; in millions of current dollars; Canada; 1975 to 2018,A.2.1,national_spending_by_sector.csv,,
Percentage distribution of total health expenditure by source of finance; Canada; 1975 to 2018,A.2.2,national_spending_by_sector.csv,,
Total health expenditure per capita by source of finance; in current dollars; Canada; 1975 to 2018,A.2.3,national_spending_by_sector.csv,,
Total health expenditure by source of finance; in constant 1997 millions of dollars; Canada; 1975 to 2018,A.2.4,national_spending_by_sector.csv,,
Total health expenditure per capita by source of finance; in constant 1997 millions of dollars; Canada; 1975 to 2018,A.2.5,national_spending_by_sector.csv,,
Total health expenditure by use of funds; in millions of current dollars; Canada; 1975 to 2018,A.3.1.1,services_expenditure.csv,,
Percentage distribution of total health expenditure by use of funds; Canada; 1975 to 2018,A.3.1.2,services_expenditure.csv,,
Total health expenditure per capita by use of funds; in current dollars; Canada; 1975 to 2018,A.3.1.3,services_expenditure.csv,,
Private-sector health expenditure by use of funds; in millions of current dollars; Canada; 1975 to 2018,A.3.2.1,services_expenditure.csv,,
Percentage distribution of private-sector health expenditure by use of funds; Canada; 1975 to 2018,A.3.2.2,services_expenditure.csv,,
