Year,Category,Hospitals,Other Institutions,Physicians,Other Professionals ,Drugs,Capital,Public Health,Administration,Other Health Spending,Total,Shorthand,Legend,Province,Province Code
1999,F.3.13.1: Expenditure by year,67.71545621,3.01937774,14.47825896,1.915066436,1.318672668,23.34685659,4.531822099,9.533875688,21.51905868,147.3784451,F.3.13.1,Territorial government health expenditure by use of funds in millions of current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2003,F.3.13.2: Percentage by year,39.79620401,2.243524962,10.97134469,0.817962267,0.954696134,22.93498922,2.646559472,6.401631875,13.23308736,100,F.3.13.2,Percentage distribution of territorial government health expenditure by use of funds; Nunavut; 1974-1975 to 2018-2019 ,Nunavut,Nun.
2004,F.3.13.2: Percentage by year,44.58608424,1.984013758,11.06971958,0.824976909,0.942513093,18.08009318,3.079741874,6.664504976,12.76835238,100,F.3.13.2,Percentage distribution of territorial government health expenditure by use of funds; Nunavut; 1974-1975 to 2018-2019 ,Nunavut,Nun.
2005,F.3.13.2: Percentage by year,49.63881272,2.70676263,12.61442963,0.995154208,1.070592418,6.617308812,4.399236887,7.0871621,14.8705406,100,F.3.13.2,Percentage distribution of territorial government health expenditure by use of funds; Nunavut; 1974-1975 to 2018-2019 ,Nunavut,Nun.
2006,F.3.13.2: Percentage by year,50.37015679,2.517376607,12.02943189,0.916206369,1.134260018,10.42453622,4.254030437,4.902834061,13.45116761,100,F.3.13.2,Percentage distribution of territorial government health expenditure by use of funds; Nunavut; 1974-1975 to 2018-2019 ,Nunavut,Nun.
2007,F.3.13.2: Percentage by year,50.46496674,2.350483685,11.55967771,0.95013054,1.144096825,11.41154697,4.305903321,4.948732821,12.86446139,100,F.3.13.2,Percentage distribution of territorial government health expenditure by use of funds; Nunavut; 1974-1975 to 2018-2019 ,Nunavut,Nun.
2008,F.3.13.2: Percentage by year,45.81026203,8.908442653,15.61901801,1.197719833,0.682298385,3.885307878,6.390767607,5.965890875,11.54029273,100,F.3.13.2,Percentage distribution of territorial government health expenditure by use of funds; Nunavut; 1974-1975 to 2018-2019 ,Nunavut,Nun.
2009,F.3.13.2: Percentage by year,47.13222408,10.04247891,15.05194913,1.231405509,0.902907145,1.701481249,6.91010793,5.67095965,11.35648639,100,F.3.13.2,Percentage distribution of territorial government health expenditure by use of funds; Nunavut; 1974-1975 to 2018-2019 ,Nunavut,Nun.
2010,F.3.13.2: Percentage by year,44.18156137,11.1787078,15.58911978,1.146168952,0.797739032,2.559580639,6.40689191,7.566611888,10.57361863,100,F.3.13.2,Percentage distribution of territorial government health expenditure by use of funds; Nunavut; 1974-1975 to 2018-2019 ,Nunavut,Nun.
2011,F.3.13.2: Percentage by year,43.08067627,11.74216766,14.16115633,1.047708487,1.35988106,3.987956003,6.10218397,8.084263222,10.43400699,100,F.3.13.2,Percentage distribution of territorial government health expenditure by use of funds; Nunavut; 1974-1975 to 2018-2019 ,Nunavut,Nun.
2012,F.3.13.2: Percentage by year,43.13557234,11.42908991,14.12578033,1.141979408,1.296119016,4.047555557,6.104145798,8.318672774,10.40108487,100,F.3.13.2,Percentage distribution of territorial government health expenditure by use of funds; Nunavut; 1974-1975 to 2018-2019 ,Nunavut,Nun.
2013,F.3.13.2: Percentage by year,41.66292107,10.44164605,13.87013878,0.651818654,1.315390762,6.17521354,8.196830658,8.292571004,9.393469485,100,F.3.13.2,Percentage distribution of territorial government health expenditure by use of funds; Nunavut; 1974-1975 to 2018-2019 ,Nunavut,Nun.
2014,F.3.13.2: Percentage by year,40.63757076,10.33589431,13.5482553,0.604744811,1.127885065,8.333145661,8.920692195,7.482328538,9.009483357,100,F.3.13.2,Percentage distribution of territorial government health expenditure by use of funds; Nunavut; 1974-1975 to 2018-2019 ,Nunavut,Nun.
2015,F.3.13.2: Percentage by year,40.83080743,10.63704045,14.02810613,0.537308186,1.223272647,5.488829985,9.260123885,8.456349568,9.538161722,100,F.3.13.2,Percentage distribution of territorial government health expenditure by use of funds; Nunavut; 1974-1975 to 2018-2019 ,Nunavut,Nun.
2016,F.3.13.2: Percentage by year,41.9836931,10.79745836,13.78220837,0.546144787,1.170583337,3.115843528,9.27385725,10.11294594,9.217265323,100,F.3.13.2,Percentage distribution of territorial government health expenditure by use of funds; Nunavut; 1974-1975 to 2018-2019 ,Nunavut,Nun.
2017,F.3.13.2: Percentage by year,40.6318776,10.60301464,13.31511471,0.527122992,1.133437005,2.896498022,10.10238334,11.75058589,9.039965799,100,F.3.13.2,Percentage distribution of territorial government health expenditure by use of funds; Nunavut; 1974-1975 to 2018-2019 ,Nunavut,Nun.
2018,F.3.13.2: Percentage by year,40.61461447,11.25499432,13.30108832,0.507636767,1.130385537,0.972841511,10.86183526,12.24982933,9.106774484,100,F.3.13.2,Percentage distribution of territorial government health expenditure by use of funds; Nunavut; 1974-1975 to 2018-2019 ,Nunavut,Nun.
1999,F.3.13.3: Expenditure by year,2508.072751,111.8329472,536.2516744,70.93101359,48.8415374,864.7304194,167.8514796,353.1195855,797.0316932,5458.663101,F.3.13.3,Territorial government per capita health expenditure by use of funds in current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2000,F.3.13.3: Expenditure by year,2525.549145,105.4911274,537.7090795,50.4528998,42.08455466,168.0885438,173.5103636,590.7546425,863.7788413,5057.419198,F.3.13.3,Territorial government per capita health expenditure by use of funds in current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2001,F.3.13.3: Expenditure by year,2523.461176,119.1310363,550.5473566,51.2680295,45.32519604,229.1339323,227.2526502,584.0483384,872.031794,5202.199509,F.3.13.3,Territorial government per capita health expenditure by use of funds in current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2002,F.3.13.3: Expenditure by year,3097.225638,167.1944002,690.0227063,59.94261809,56.40576423,580.1393544,328.3287206,675.5532512,987.7927091,6642.605162,F.3.13.3,Territorial government per capita health expenditure by use of funds in current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2003,F.3.13.3: Expenditure by year,3232.676931,182.243296,891.2109524,66.44371788,77.55071735,1863.027201,214.982106,520.0095887,1074.934087,8123.078597,F.3.13.3,Territorial government per capita health expenditure by use of funds in current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2004,F.3.13.3: Expenditure by year,3557.159454,158.2882511,883.162501,65.81816864,75.19542064,1442.462946,245.7074468,531.7064121,1018.682537,7978.183137,F.3.13.3,Territorial government per capita health expenditure by use of funds in current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2005,F.3.13.3: Expenditure by year,3850.769927,209.9792393,978.5742967,77.19987017,83.05204862,513.3429341,341.2742605,549.7921724,1153.593879,7757.578627,F.3.13.3,Territorial government per capita health expenditure by use of funds in current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2006,F.3.13.3: Expenditure by year,4266.953463,213.2518442,1019.036456,77.61361464,96.08536127,883.0826373,360.3671511,415.3285617,1139.47444,8471.193529,F.3.13.3,Territorial government per capita health expenditure by use of funds in current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2007,F.3.13.3: Expenditure by year,4101.961859,191.0552023,939.6093994,77.22979894,92.99602956,927.568835,349.9982727,402.2496119,1045.666595,8128.335604,F.3.13.3,Territorial government per capita health expenditure by use of funds in current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2008,F.3.13.3: Expenditure by year,3960.828358,770.2381677,1350.445222,103.5567681,58.99260714,335.9299193,552.5559656,515.8204453,997.7921252,8646.159578,F.3.13.3,Territorial government per capita health expenditure by use of funds in current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2009,F.3.13.3: Expenditure by year,4381.453131,933.557699,1399.24247,114.4725425,83.93504472,158.171198,642.3697293,527.177412,1055.708993,9296.08822,F.3.13.3,Territorial government per capita health expenditure by use of funds in current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2010,F.3.13.3: Expenditure by year,4212.174534,1065.753831,1486.232974,109.2732697,76.05471443,244.0248839,610.819222,721.3844172,1008.065938,9533.783784,F.3.13.3,Territorial government per capita health expenditure by use of funds in current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2011,F.3.13.3: Expenditure by year,4376.174224,1192.780056,1438.503122,106.4271797,138.1379532,405.1001929,619.8653899,821.2068006,1059.895907,10158.09082,F.3.13.3,Territorial government per capita health expenditure by use of funds in current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2012,F.3.13.3: Expenditure by year,4610.203134,1221.507523,1509.721865,122.0514012,138.5253892,432.5908363,652.393154,889.0752855,1111.637367,10687.70596,F.3.13.3,Territorial government per capita health expenditure by use of funds in current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2013,F.3.13.3: Expenditure by year,4704.896575,1179.150753,1566.322447,73.60836149,148.5440131,697.3524729,925.6489823,936.4607165,1060.782616,11292.76694,F.3.13.3,Territorial government per capita health expenditure by use of funds in current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2014,F.3.13.3: Expenditure by year,4775.256903,1214.554653,1592.034131,71.06260974,132.5359967,979.2148152,1048.256483,879.2366357,1058.690192,11750.84242,F.3.13.3,Territorial government per capita health expenditure by use of funds in current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2015,F.3.13.3: Expenditure by year,4984.431048,1298.519378,1712.48457,65.5920314,149.3313149,670.0502957,1130.431944,1032.310992,1164.373482,12207.52506,F.3.13.3,Territorial government per capita health expenditure by use of funds in current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2016,F.3.13.3: Expenditure by year,5288.469781,1360.100269,1736.073868,68.79504845,147.4523594,392.4867757,1168.180076,1273.875761,1161.051483,12596.48542,F.3.13.3,Territorial government per capita health expenditure by use of funds in current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2017,F.3.13.3: Expenditure by year,5424.535084,1415.549276,1777.626611,70.37324715,151.3188452,386.6952764,1348.712786,1568.755105,1206.875353,13350.44158,F.3.13.3,Territorial government per capita health expenditure by use of funds in current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2018,F.3.13.3: Expenditure by year,5104.714174,1414.602349,1671.769016,63.80315647,142.074353,122.2731747,1365.18751,1539.639813,1144.599829,12568.66338,F.3.13.3,Territorial government per capita health expenditure by use of funds in current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
1974,F.3.10.1: Expenditure by year,388.471,46.68,199.105,12.07,17.304,22.399,30.619,16.289,10.807,743.744,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
1975,F.3.10.1: Expenditure by year,519.759,70.453,256.62,17.132,23.702,21.221,42.889,18.661,19.225,989.662,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
1976,F.3.10.1: Expenditure by year,579.11,81.179,299.726,20.931,26.717,10.444,44.123,22.795,28.691,1113.716,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
1977,F.3.10.1: Expenditure by year,638.6771102,91.05267882,316.102,20.864,30.129,4.59,63.18682401,22.21538702,32.759,1219.576,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
1978,F.3.10.1: Expenditure by year,641.7331061,160.2346414,356.998,30.116,37.322,39.733,80.98253989,27.7467126,37.043,1411.909,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
1979,F.3.10.1: Expenditure by year,722.2577068,195.9517862,407.936,33.543,46.258,35.202,82.91650705,36.067,44.511,1604.643,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
1980,F.3.10.1: Expenditure by year,975.2855788,244.5482603,473.699,48.41,54.138,51.987,95.78216095,39.879,57.83,2041.559,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
1981,F.3.10.1: Expenditure by year,1122.021517,239.8276506,597.218,120.517,69.674,71.662,121.249,42.832,100.8768327,2485.878,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
1982,F.3.10.1: Expenditure by year,1248.471578,304.6667655,720.372,86.446,90.808,80.295,74.529,85.979,106.8956562,2798.463,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
1983,F.3.10.1: Expenditure by year,1312.505017,314.1239871,792.914,71.93130219,107.167,92.627,73.50056528,88.451,123.5991283,2976.819,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
1984,F.3.10.1: Expenditure by year,1351.210747,334.8410798,811.829,74.54242729,118.826,106.49,83.10128309,97.293,129.3894625,3107.523,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
1985,F.3.10.1: Expenditure by year,1398.120907,342.8168211,829.351,80.13642225,131.74,113.201,84.88822719,102.974,148.4166222,3231.645,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
1986,F.3.10.1: Expenditure by year,1553.928912,373.5136257,893.083,87.62001312,157.9999103,111.2211326,88.79348458,101.1226727,146.5102489,3513.793,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
1987,F.3.10.1: Expenditure by year,1684.11012,365.7110543,942.162,82.53013257,151.977,120.2884012,99.22827649,100.383,163.4020154,3709.792,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
1988,F.3.10.1: Expenditure by year,1764.962,480.8393415,1011.377,80.0884958,175.735,157.7826433,124.834,94.838,181.2461708,4071.702651,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
1989,F.3.10.1: Expenditure by year,1973.514,558.4635341,1073.451,91.13257327,203.481,203.0254777,150.857,109.641006,216.3980578,4579.963649,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
1990,F.3.10.1: Expenditure by year,2197.044,647.2511691,1236.894,103.0636722,242.263,223.0816181,160.597569,117.411,257.487172,5185.0932,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
1991,F.3.10.1: Expenditure by year,2379.272,747.71974,1349.930671,128.8914493,286.404,209.4840064,181.1017252,125.658,306.3858351,5714.847427,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
1992,F.3.10.1: Expenditure by year,2566.675552,800.5506151,1331.053506,142.00482,320.267847,217.842669,335.2892868,141.472682,326.2211413,6181.378119,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
1993,F.3.10.1: Expenditure by year,2650.20789,803.380101,1444.861481,147.5045381,354.5322448,242.9674927,382.2930515,118.631822,361.4364297,6505.815051,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
1994,F.3.10.1: Expenditure by year,2733.565399,921.8922046,1536.340618,153.210302,334.394699,262.2000414,322.5953111,134.466685,412.3602563,6811.025516,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
1995,F.3.10.1: Expenditure by year,2765.230964,911.5169153,1598.057986,153.5035622,354.476403,261.9322878,444.3216015,185.202365,403.2293812,7077.471466,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
1996,F.3.10.1: Expenditure by year,2832.792869,972.2300754,1597.894201,155.9896242,387.764019,267.0201757,471.6138981,173.0786795,354.051087,7212.434629,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
1997,F.3.10.1: Expenditure by year,2965.730165,1041.957733,1632.14696,154.1209237,428.9668315,230.6524234,365.9768841,212.1978014,465.4185092,7497.168232,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
1998,F.3.10.1: Expenditure by year,3142.965992,1052.229427,1704.681564,151.507313,467.4776606,204.95,540.5519316,164.0264275,463.5311477,7891.921463,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
1999,F.3.10.1: Expenditure by year,3319.603488,1218.521841,1812.672904,168.2901238,531.6099172,315.8,563.9264749,138.9927506,484.6839989,8554.101499,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
2000,F.3.10.1: Expenditure by year,3504.259479,1427.017233,1963.453978,179.5639392,616.6301025,391.9,613.6844113,151.0469385,494.8856766,9342.441758,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
2001,F.3.10.1: Expenditure by year,3935.192566,1562.43585,2230.754374,159.3940869,673.2288536,392.925,695.4454267,150.5217405,579.8167522,10379.71465,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
2002,F.3.10.1: Expenditure by year,4219.545927,1675.789926,2419.114538,86.8862657,669.279502,420.825,606.4542904,164.1422401,648.4957043,10910.53339,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
2003,F.3.10.1: Expenditure by year,4400.382446,1576.810233,2508.357751,88.27990335,653.7969138,503.85,691.5674638,199.2267657,653.0562322,11275.32771,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
2004,F.3.10.1: Expenditure by year,4397.849882,1577.074367,2465.370007,95.18926177,715.8906384,618.325,702.5284552,193.9795037,758.3779164,11524.58503,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
2005,F.3.10.1: Expenditure by year,4566.163466,1325.894697,2628.749708,110.5302823,761.3295561,763.275,968.2912991,247.5135664,931.1634284,12302.911,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
2006,F.3.10.1: Expenditure by year,4814.068373,1264.462804,2856.616019,111.6180725,804.6773011,681.45,984.2996292,236.9743928,1080.343074,12834.50967,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
2007,F.3.10.1: Expenditure by year,5126.203415,1148.807581,3062.794621,116.1812957,832.6221883,735.9,1129.59105,217.1228057,1338.35552,13707.57848,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
2008,F.3.10.1: Expenditure by year,5693.088128,1136.117028,3202.558271,132.6083596,863.816665,961.9,1233.367706,181.2152864,1411.022903,14815.69435,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
2009,F.3.10.1: Expenditure by year,5893.655771,1169.513653,3348.431069,143.5657602,889.542647,951.15,1294.534965,162.1988821,1465.395265,15317.98801,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
2010,F.3.10.1: Expenditure by year,6572.48343,1038.887544,3517.423837,151.7606806,942.565933,1018.442022,1375.937481,140.488127,1316.68071,16074.66976,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
2011,F.3.10.1: Expenditure by year,7232.755051,905.6152408,3734.97925,162.6147907,941.863487,910.6762683,1569.527113,190.3280804,1179.435414,16827.7947,F.3.10.1,Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,British Columbia,B.C.
